text,label
轻轻拽着自己的袖子,害羞
不安地绞动手指,害羞
咬着嘴唇,害羞
尾巴悄悄藏到身后,害羞
轻轻拉住你的袖子,害羞
小声地嗯了一下,害羞
耳朵红红的,害羞
轻轻侧过脸,害羞
偷看了一下又赶紧移开目光,害羞
害羞地轻轻跺脚,害羞
悄悄吞了口口水,害羞
用尾巴悄悄挡住自己,害羞
耳朵尖微微颤抖,害羞
偷偷瞟了一眼,害羞
双手紧紧抱着尾巴,害羞
轻轻靠近又立刻后退,害羞
害羞得不知道该说什么,害羞
轻轻咬着指尖,害羞
慌乱地理了理衣服,害羞
小声地咕哝了一下,害羞
尾巴害羞地缩起来,害羞
害羞得挠了挠耳朵,害羞
脸颊微微泛红,害羞
悄悄低下头,害羞
害羞地撩了撩头发,害羞
嘴唇微微颤抖,害羞
脚尖轻轻磨蹭着地面,害羞
微微颤抖着尾巴,害羞
轻轻按住自己的胸口,害羞
悄悄地躲开视线,害羞
轻轻捂住嘴巴,害羞
红着脸不敢说话,害羞
悄悄别过头去,害羞
轻轻拉住自己的袖口,害羞
害羞得缩了缩脖子,害羞
红着脸缩到角落里,害羞
尾巴害羞地摆动了一下,害羞
害羞地搓了搓手指,害羞
微微低头盯着地面,害羞
轻轻咬住嘴唇,害羞
手足无措地揪着衣角,害羞
眼神躲躲闪闪,害羞
微微侧过脸颊,害羞
悄悄往后退了一步,害羞
害羞地低下头去,害羞
耳朵尖微微发烫,害羞
偷偷瞥了你一眼,害羞
嘴角不安地抿着,害羞
小声地嘀咕,害羞
害羞地摸了摸鼻子,害羞
悄悄躲到你身后,害羞
轻轻拽着你的衣角,害羞
尾巴不安地动了动,害羞
紧张地绞着自己的尾巴,害羞
偷偷吸了一口气,害羞
脸红得像熟透的苹果,害羞
悄悄握紧拳头,害羞
小声地嗯了一下,害羞
耳朵害羞地轻轻垂下,害羞
害羞地捂住了脸,害羞
轻轻甩了甩尾巴,害羞
眼神闪烁,害羞
紧张得抖了抖耳朵,害羞
红着脸点了点头,害羞
害羞地偷偷瞄了一眼,害羞
厌恶,厌恶
讨厌,厌恶
皱起鼻子,厌恶
撇了撇嘴,厌恶
嫌弃地后退一步,厌恶
微微皱起眉头,厌恶
嘴角轻轻抽搐,厌恶
嫌弃地翻了个白眼,厌恶
厌恶地摇了摇头,厌恶
嫌弃地皱起鼻尖,厌恶
躲开视线不想看,厌恶
轻轻捂住鼻子,厌恶
嘴角微微下撇,厌恶
厌恶地撇开目光,厌恶
嫌弃地甩了甩手,厌恶
皱着眉头嘟囔,厌恶
嫌弃地后退了半步,厌恶
用尾巴挡住鼻子,厌恶
微微后仰拉开距离,厌恶
眉头紧皱,厌恶
嫌弃地抬起下巴,厌恶
不耐烦地叹了口气,厌恶
不悦地眨了眨眼,厌恶
厌恶地撇了撇嘴角,厌恶
嫌弃地挥了挥手,厌恶
后退一步远离,厌恶
嘴角抽搐了一下,厌恶
轻轻耸了耸鼻子,厌恶
翻了个不屑的眼神,厌恶
皱起眉毛盯着你,厌恶
嫌弃地甩了甩头,厌恶
嘴巴微微撅起,厌恶
低声咕哝着不满,厌恶
满脸写着拒绝,厌恶
嫌弃地晃了晃耳朵,厌恶
轻轻揉了揉眉心,厌恶
撇过头去不想理睬,厌恶
皱着鼻子轻哼一声,厌恶
厌恶地搓了搓手,厌恶
双手抱胸一脸不耐烦,厌恶
嘴角微微翘起露出不屑,厌恶
眉头皱得更深了,厌恶
撇嘴轻轻摇头,厌恶
甩了甩尾巴似乎想甩掉不爽,厌恶
轻轻拍了拍衣服,厌恶
低头轻轻叹了口气,厌恶
轻哼了一声,厌恶
微微皱鼻露出嫌弃的表情,厌恶
头微微后仰避开气味,厌恶
撇了一眼就立刻移开视线,厌恶
冷冷地盯了一眼,厌恶
害怕,害怕
缩紧尾巴,害怕
身体微微颤抖,害怕
耳朵紧紧贴着头,害怕
害怕地后退一步,害怕
双手握紧不知所措,害怕
尾巴害怕地抖动,害怕
躲到你身后探出半个头,害怕
害怕地咬着嘴唇,害怕
小心翼翼地往后退,害怕
眼神躲闪不敢直视,害怕
瑟瑟发抖,害怕
紧张地搓着手指,害怕
害怕地蜷缩起身体,害怕
躲在角落里缩成一团,害怕
害怕地环抱住自己,害怕
小声地吞了口唾沫,害怕
惊恐地看着前方,害怕
尾巴害怕地卷起来,害怕
微微抖动着肩膀,害怕
害怕地睁大双眼,害怕
轻轻咬着指尖,害怕
手足无措地搓着衣角,害怕
害怕地盯着地面,害怕
呼吸变得急促,害怕
嘴唇微微颤抖,害怕
悄悄地往你身后缩,害怕
害怕地低下头,害怕
眼神不安地四处张望,害怕
轻轻揪着自己的袖子,害怕
耳朵害怕地抖了一下,害怕
身体不安地后缩,害怕
慌乱地张望四周,害怕
咽了咽口水,害怕
抱紧自己的尾巴,害怕
眼泪汪汪,害怕
指尖微微颤抖,害怕
悄悄屏住呼吸,害怕
呼吸急促地喘息,害怕
手臂抱紧身体,害怕
尾巴害怕地夹起来,害怕
害怕得缩成一团,害怕
悄悄躲到阴影里,害怕
害怕地缩起肩膀,害怕
手指轻轻绞在一起,害怕
下意识地往后缩,害怕
轻轻咬住嘴唇,害怕
瑟缩着抱紧自己,害怕
轻轻抽了口冷气,害怕
瞪大眼睛不敢动弹,害怕
低下头缩着肩膀,害怕
生气,生气
炸毛,生气
气呼呼地鼓起脸颊,生气
凶巴巴但毫无威慑力,生气
气鼓鼓地跺脚,生气
生气地瞪着你,生气
嘟着嘴,生气
叉腰怒视,生气
耳朵向后压,生气
咬牙切齿,生气
愤愤不平,生气
生闷气,生气
生气地撅起嘴,生气
恼火地甩尾巴,生气
不满地哼了一声,生气
怒气冲冲,生气
抱着胳膊冷哼,生气
嘟囔着抗议,生气
炸毛地抖动尾巴,生气
皱眉不满,生气
嘟起嘴巴翻白眼,生气
愤怒地扭头,生气
耳朵竖起,生气
不悦地盯着你,生气
撅起嘴不理人,生气
闷闷不乐地踢地板,生气
眼神充满怨念,生气
愤愤不平地跺脚,生气
死死盯着你,生气
耳朵压低不说话,生气
噘着嘴鼓腮帮,生气
翻着白眼,生气
怒气冲冲地甩尾巴,生气
跺脚表达不满,生气
嘟囔着抱怨,生气
撇嘴瞪你,生气
哼了一声转身,生气
狠狠瞪了你一眼,生气
拍桌子,生气
叉腰怒气冲冲,生气
掐腰不高兴,生气
气得耳朵颤抖,生气
鼓着腮帮,生气
皱起眉头撅嘴,生气
眼神犀利,生气
嘟着嘴鼓起腮帮,生气
皱眉盯着你,生气
翻着白眼冷哼,生气
怒目而视,生气
不爽地哼一声,生气
紧紧攥拳,生气
握拳不满,生气
用尾巴拍地,生气
不开心地嘟囔,生气
生气地背过身,生气
愤愤不平地叉腰,生气
不高兴地鼓起脸颊,生气
皱眉冷哼,生气
甩开你的手,生气
盯着你不说话,生气
生气地晃着尾巴,生气
跺脚抗议,生气
撅嘴别过头,生气
鼓着脸颊生闷气,生气
翻着白眼嘟嘴,生气
皱着鼻子撅嘴,生气
手插腰生闷气,生气
嘟嘴鼓腮帮瞪你,生气
叉着腰冷哼,生气
气得尾巴炸毛,生气
撅着嘴瞪你,生气
甩着尾巴生气,生气
咬着牙冷哼,生气
生闷气不说话,生气
皱着眉沉默,生气
气鼓鼓地跺了一下,生气
冷哼一声撇过头,生气
气得头发炸起,生气
冷着脸叉腰,生气
耳朵竖起不满,生气
愤怒地翘起尾巴,生气
生气地撇过头去,生气
愤愤地握拳,生气
生气地抬起头,生气
撅着嘴巴闷闷不乐,生气
气得直跺脚,生气
撇嘴哼了一声,生气
生气地翘起耳朵,生气
翻着白眼撇嘴,生气
鼻子皱起冷哼,生气
愤愤不平地扭头,生气
尾巴炸开,生气
脸颊气鼓鼓,生气
气得直喘气,生气
跺脚翻白眼,生气
耳朵不满地抖动,生气
眼神带着怒火,生气
冷哼一声扭头,生气
手插兜皱眉,生气
认真,认真
专注地盯着你,认真
皱着眉思考,认真
托着下巴沉思,认真
翻阅笔记,认真
认真地分析,认真
眯起眼睛,认真
凝视着前方,认真
扶了扶眼镜,认真
笔直地坐着,认真
聚精会神,认真
双手抱胸思考,认真
托腮思索,认真
低头沉思,认真
沉浸在思考中,认真
皱着眉咬着笔,认真
认真地盯着屏幕,认真
认真地记录,认真
咬着嘴唇思考,认真
点头确认,认真
翻开书本,认真
仔细观察,认真
托腮静思,认真
端正坐姿,认真
专注地看着,认真
轻轻点头,认真
认真地计算,认真
翻阅资料,认真
不受干扰地学习,认真
目光坚定,认真
认真地敲打键盘,认真
咬着笔杆思索,认真
手托着下巴,认真
手指轻敲桌面,认真
皱眉苦思,认真
看着屏幕若有所思,认真
专注地做笔记,认真
认真地调整耳机,认真
仔细倾听,认真
思考着点了点头,认真
低头快速记录,认真
沉思着摸下巴,认真
一丝不苟,认真
眉头紧锁,认真
不慌不忙地整理,认真
专心致志,认真
对比数据,认真
屏住呼吸,认真
写下要点,认真
按着太阳穴思考,认真
认真地审视,认真
紧盯着目标,认真
专注地盯着课本,认真
轻轻皱眉,认真
翻阅着资料,认真
沉稳地书写,认真
摆弄着计算器,认真
咬紧嘴唇,认真
嘴角微抿,认真
握笔沉思,认真
仔细核对,认真
阅读着文件,认真
翻开新的一页,认真
点头思索,认真
侧耳倾听,认真
细细品味,认真
耐心地研读,认真
低声重复知识点,认真
小心翼翼地书写,认真
不紧不慢地分析,认真
静静地思考,认真
紧盯着数据,认真
专注地修正错误,认真
沉默地咀嚼信息,认真
坚定地注视着,认真
心无旁骛地研究,认真
快速做笔记,认真
手托下巴翻书,认真
全神贯注地听讲,认真
静静地整理思绪,认真
低头看着报告,认真
若有所思地敲桌子,认真
边看边点头,认真
低声自言自语,认真
眼里闪着思考的光,认真
慢慢整理逻辑,认真
用心地核对信息,认真
手指轻点书页,认真
翻动笔记本,认真
细心调整内容,认真
沉浸在书本里,认真
双手交叉思考,认真
笔直地盯着屏幕,认真
认真地回忆,认真
紧盯着公式,认真
沉着冷静,认真
缓缓地梳理思路,认真
紧绷着脸,认真
端起咖啡继续思考,认真
专注地观看视频,认真
慌张,慌张
手足无措,慌张
慌乱地摆手,慌张
突然不知所措,慌张
语无伦次,慌张
匆忙后退,慌张
慌张地低头,慌张
结结巴巴,慌张
手脚乱晃,慌张
慌乱地抓头发,慌张
手指不停搅动,慌张
不知如何回答,慌张
左顾右盼,慌张
捂着脸躲避,慌张
眼神躲闪,慌张
突然站起来,慌张
尴尬地笑,紧张
说话打结,慌张
尾巴不安地摆动,慌张
呼吸急促,慌张
紧张地搓手,紧张
小心翼翼地后退,慌张
绞着衣角,慌张
不安地搓着袖子,慌张
不知所措地站着,慌张
不安地左右晃动,慌张
低头盯着地面,慌张
脚尖不停点地,慌张
下意识地后退一步,慌张
手掌冒汗,慌张
心跳加速,慌张
脚步慌乱,慌张
慌张地环顾四周,慌张
神情慌乱,慌张
咽了口唾沫,慌张
下意识地捏紧衣角,慌张
突然变得局促,慌张
不安地扯着衣服,慌张
咬着嘴唇,慌张
眼神闪烁,慌张
站立不稳,慌张
抱紧自己,慌张
瞳孔微微缩小,慌张
倒吸一口凉气,慌张
呼吸变得急促,慌张
紧张,紧张
耳朵微微颤抖,紧张
手心冒汗,紧张
紧张地搓着手指,紧张
目光闪烁,紧张
轻咬下唇,紧张
低头回避目光,紧张
耳朵耸拉下来,紧张
手指蜷缩,紧张
紧张地吞咽口水,紧张
背后冒出冷汗,紧张
呼吸变得急促,紧张
绞着衣角不敢看,紧张
紧张地来回踱步,紧张
脚尖轻点地面,紧张
尾巴僵硬地晃动,紧张
心跳加速,紧张
下意识握拳,紧张
猛地站直身体,紧张
紧紧抓住衣角,紧张
手臂僵硬,紧张
眼神回避,紧张
咬紧牙关,紧张
下意识地捏紧拳头,紧张
不安地调整站姿,紧张
攥紧袖口,紧张
脚步不自觉后退,紧张
轻轻叹气调整呼吸,紧张
双手紧紧抱在胸前,紧张
不自觉地绞着手指,紧张
小幅度地晃动身体,紧张
手指无意识地敲击,紧张
不安地来回张望,紧张
低头盯着地板,紧张
额头渗出冷汗,紧张
嘴唇抿成一条线,紧张
耳朵僵硬地立着,紧张
眼神飘忽不定,紧张
咬住下唇,紧张
晃动脚踝,紧张
攥紧拳头,紧张
深吸一口气,紧张
呼吸变快,紧张
站立变得僵硬,紧张
眨眼次数变多,紧张
不断调整衣领,紧张
紧张,紧张
困惑地歪着头,疑惑
歪着头思考,疑惑
不解地眨眨眼,疑惑
困惑地竖起耳朵,疑惑
疑惑地眯起眼睛,疑惑
纳闷地挠挠头,疑惑
困惑地皱起眉头,疑惑
不解地歪着脑袋,疑惑
疑惑地歪着头看你,疑惑
困惑地竖起一根手指,疑惑
疑惑地摸摸耳朵,疑惑
不解地歪着尾巴,疑惑
困惑地托着下巴,疑惑
疑惑地歪着脑袋思考,疑惑
困惑地眨巴着眼睛,疑惑
不解地歪着耳朵,疑惑
疑惑地歪着头发出呜声,疑惑
困惑地歪着脑袋看你,疑惑
疑惑地竖起耳朵听,疑惑
不解地看着你,疑惑
困惑地歪着头思考问题,疑惑
疑惑地歪着尾巴思考,疑惑
不解地歪着头看你,疑惑
困惑地歪着脑袋发出疑问声,疑惑
疑惑地歪着头表示不解,疑惑
疑惑地歪着头表示困惑,疑惑
不解地歪着耳朵听,疑惑
疑惑地歪着脑袋思考你说的话,疑惑
困惑地歪着头表示不明白,疑惑
不解地歪着头思考你说的话,疑惑
困惑地歪着尾巴表示不解,疑惑
困惑地歪着脑袋思考问题,疑惑
不解地歪着耳朵思考,疑惑
疑惑地歪着头表示疑问,疑惑
疑惑地歪着尾巴表示困惑,疑惑
不解地歪着头思考你的话,疑惑
困惑地歪着脑袋发出困惑的声音,疑惑
困惑地歪着脑袋思考你的问题,疑惑
不解地歪着耳朵听你说话,疑惑
疑惑地歪着头表示怀疑,疑惑
疑惑地歪着尾巴思考你的话,疑惑
不解地歪着头思考你的问题,疑惑
困惑地歪着脑袋思考你说的事情,疑惑
不解地歪着耳朵听你解释,疑惑
疑惑地歪着头表示不太明白,疑惑
疑惑地歪着尾巴思考你说的话,疑惑
不解地歪着头思考你的解释,疑惑
困惑地歪着脑袋发出困惑的呜声,疑惑
困惑地歪着脑袋思考你的意思,疑惑
不解地歪着耳朵听你说明,疑惑
疑惑地歪着头表示不太理解,疑惑
疑惑地歪着尾巴思考你的话,疑惑
不解地歪着头思考你的说明,疑惑
困惑地歪着脑袋发出困惑的声音,疑惑
困惑地歪着脑袋思考你的解释,疑惑
不解地歪着耳朵听你讲述,疑惑
疑惑地歪着头表示困惑,疑惑
疑惑地歪着尾巴思考你的话,疑惑
不解地歪着头思考你的讲述,疑惑
困惑地歪着脑袋思考你的话,疑惑
不解地歪着耳朵听你描述,疑惑
疑惑地歪着头表示不明白,疑惑
疑惑地歪着尾巴思考你的描述,疑惑
不解地歪着头思考你的话,疑惑
困惑地歪着脑袋发出困惑的声音,疑惑
困惑地歪着脑袋思考你的说法,疑惑
不解地歪着耳朵听你解释,疑惑
疑惑地歪着头表示怀疑,疑惑
疑惑地歪着尾巴思考你的解释,疑惑
不解地歪着头思考你的说法,疑惑
困惑地歪着脑袋思考你的意思,疑惑
不解地歪着耳朵听你说明,疑惑
疑惑地歪着头表示不太懂,疑惑
疑惑地歪着尾巴思考你的说明,疑惑
不解地歪着头思考你的意思,疑惑
困惑地歪着脑袋发出困惑的声音,疑惑
困惑地歪着脑袋思考你的话,疑惑
不解地歪着耳朵听你讲述,疑惑
不安地咬着嘴唇,担心
焦虑地搓着手指,担心
忧心忡忡地皱眉,担心
紧张地攥紧衣角,担心
担心地来回踱步,担心
忧虑地叹气,担心
不安地摆弄尾巴,担心
紧张地左顾右盼,担心
担心地握紧双手,担心
焦虑地揉着耳朵,担心
忧心地看着你,担心
紧张地吞咽口水,担心
担心地绞着衣角,担心
焦虑地咬着指甲,担心
不安地看向门口,担心
紧张地捏着衣角,担心
焦虑地来回踱步,担心
不安地搓着手,担心
忧心地皱起眉头,担心
紧张地竖起耳朵听动静,担心
焦虑地抓着尾巴尖,担心
不安地看向窗外,担心
紧张地攥紧拳头,担心
担心地咬着下唇,担心
焦虑地来回走动,担心
不安地揉着耳朵,担心
紧张地抓着衣角,担心
焦虑地捏着手指,担心
不安地看向远处,担心
紧张地绷紧身体,担心
担心地绞着尾巴,担心
焦虑地来回踱步,担心
不安地搓着衣角,担心
紧张地竖起耳朵,担心
焦虑地咬着嘴唇,担心
不安地看向门口,担心
紧张地攥紧衣角,担心
担心地揉着耳朵,担心
焦虑地来回踱步,担心
不安地搓着手,担心
紧张地捏着衣角,担心
焦虑地咬着指甲,担心
不安地看向窗外,担心
紧张地竖起耳朵听,担心
担心地绞着尾巴,担心
焦虑地来回走动,担心
不安地揉着耳朵,担心
紧张地攥紧拳头,担心
焦虑地搓着手指,担心
不安地看向远处,担心
紧张地抓着衣角,担心
担心地咬着下唇,担心
焦虑地来回踱步,担心
不安地搓着衣角,担心
紧张地竖起耳朵,担心
焦虑地捏着手指,担心
不安地看向门口,担心
紧张地绷紧身体,担心
担心地绞着尾巴,担心
焦虑地来回踱步,担心
不安地揉着耳朵,担心
紧张地攥紧衣角,担心
焦虑地咬着嘴唇,担心
不安地看向窗外,担心
紧张地搓着手,担心
担心地揉着耳朵,担心
焦虑地来回走动,担心
不安地搓着衣角,担心
紧张地捏着衣角,担心
焦虑地咬着指甲,担心
不安地看向远处,担心
紧张地竖起耳朵听,担心
担心地绞着尾巴,担心
焦虑地来回踱步,担心
不安地揉着耳朵,担心
紧张地攥紧拳头,担心
无奈地叹了口气,无奈
扶额摇头,无奈
耷拉着耳朵叹气,无奈
死鱼眼看向一旁,无奈
扶着脸颊叹气,无奈
撇开视线不想说话,无奈
扶额闭眼深呼吸,无奈
面无表情地看向远方,无奈
揉着太阳穴叹气,无奈
双手抱胸叹气,无奈
翻了个白眼但没说话,无奈
低头玩手指不想搭理,无奈
扶额露出疲惫的微笑,无奈
别过脸不想继续话题,无奈
干笑两声不再接话,无奈
摆摆手表示放弃争论,无奈
托腮发呆不想回应,无奈
垂着尾巴不想动弹,无奈
眼神放空看向天花板,无奈
揉着眉心叹气,无奈
嘴角抽搐但保持沉默,无奈
单手撑脸生无可恋,无奈
闭眼深呼吸平复心情,无奈
歪嘴露出苦笑,无奈
轻轻摇头不再反驳,无奈
双手一摊表示认输,无奈
拖着脚步慢慢走开,无奈
用尾巴轻轻拍地表达不满,无奈
斜眼瞥了一下但没说话,无奈
抓了抓头发叹气,无奈
抿嘴露出勉强的笑容,无奈
低头玩衣角不接话,无奈
靠在墙上放空大脑,无奈
用手指敲桌面缓解烦躁,无奈
用尾巴挡住脸不想看,无奈
"干巴巴地说""你高兴就好""",无奈
扭头看向窗外发呆,无奈
用手扇风假装冷静,无奈
把脸埋进手掌里叹气,无奈
用脚尖轻轻点地打发时间,无奈
摆弄袖口转移注意力,无奈
轻轻咂嘴但没反驳,无奈
用手指卷着头发发呆,无奈
用尾巴尖轻轻拍打小腿,无奈
靠着墙慢慢滑坐下去,无奈
用手遮住眼睛深呼吸,无奈
用指甲轻轻敲击杯子,无奈
把玩自己的尾巴尖,无奈
用手指按揉太阳穴,无奈
用衣角擦并不存在的汗,无奈
把刘海往后捋叹气,无奈
用手指轻轻敲额头,无奈
用尾巴扫了扫地板,无奈
把脸转向一边不说话,无奈
用手掌撑着脸颊发呆,无奈
用脚尖画着小圆圈,无奈
把玩自己的发梢,无奈
用手指轻轻敲膝盖,无奈
用尾巴把自己稍微裹住,无奈
把手臂交叉在胸前,无奈
用手梳了梳耳朵的毛,无奈
用指甲轻轻刮桌面,无奈
把下巴搁在桌子上,无奈
用手指绕着圈玩,无奈
用尾巴轻轻缠住手腕,无奈
把手放进衣兜里叹气,无奈
用指节轻轻敲脑袋,无奈
把围巾拉高遮住半张脸,无奈
用手指点着桌面计数,无奈
用尾巴挡住半边身体,无奈
把手背贴在额头上,无奈
用指甲轻轻刮下巴,无奈
把玩自己的围巾末端,无奈
用手指轻轻点嘴唇,无奈
用尾巴轻轻拍打椅子,无奈
把手放在后颈上叹气,无奈
用指腹轻轻摩挲杯沿,无奈
把外套拉链拉上拉下,无奈
用手指卷着围巾玩,无奈
用尾巴尖轻轻扫地面,无奈
把手插在口袋里晃悠,无奈
用指甲轻轻刮脖子,无奈
把帽子往下拉了拉,无奈
用手指轻轻点太阳穴,无奈
用尾巴把自己裹得更紧,无奈
把手放在嘴边思考,无奈
用指节轻轻敲肩膀,无奈
把衣领竖起来遮脸,无奈
用手指轻轻敲大腿,无奈
用尾巴轻轻拍自己小腿,无奈
把手放在腰侧叹气,无奈
用指甲轻轻刮手臂,无奈
把袖子拉长盖住手掌,无奈
用手指轻轻点鼻梁,无奈
用尾巴轻轻缠住脚踝,无奈
把手放在桌下握拳,无奈
用指腹轻轻搓耳垂,无奈
把围巾绕了一圈又一圈,无奈
用手指轻轻敲椅背,无奈
用尾巴轻轻拍打地面,无奈
把手放在膝盖上握紧,无奈
用指甲轻轻刮裤子,无奈
把外套袖子卷了又放,无奈
用手指轻轻点耳后,无奈
用尾巴轻轻扫过地板,无奈
眼睛闪闪发亮地跳起来,兴奋
激动地原地蹦跳,兴奋
开心地拍手雀跃,兴奋
兴奋地摇晃着尾巴,兴奋
手舞足蹈地转圈圈,兴奋
欢呼着举起双手,兴奋
蹦蹦跳跳停不下来,兴奋
快乐地哼着歌转圈,兴奋
兴奋地抓着你的手臂摇晃,兴奋
开心得语速飞快,兴奋
手忙脚乱地比划着,兴奋
激动得脸颊泛红,兴奋
快乐地晃着脑袋,兴奋
兴奋地手都不知道放哪,兴奋
蹦跳着拍打沙发,兴奋
开心地前后摇摆,兴奋
激动得说话都破音,兴奋
快乐地晃着双脚,兴奋
兴奋地原地小跑,兴奋
开心地拍打膝盖,兴奋
激动地抱住抱枕打滚,兴奋
快乐地晃着上半身,兴奋
兴奋地拍桌子,兴奋
开心地跺着小碎步,兴奋
激动地挥舞双手,兴奋
快乐地晃着肩膀,兴奋
兴奋地跳着转圈,兴奋
开心地拍打自己的脸,兴奋
激动地来回踱步,兴奋
快乐地扭来扭去,兴奋
兴奋地踢踏着脚,兴奋
开心地拍打墙壁,兴奋
激动地抓着头发,兴奋
快乐地左右摇晃,兴奋
兴奋地拍打胸口,兴奋
开心地蹦着走路,兴奋
激动地咬着手套,兴奋
快乐地前后蹦跳,兴奋
兴奋地拍打地面,兴奋
