idx,text,label
793,担心地绞着尾巴,担心
797,担心地揉着耳朵,担心
805,担心地皱眉,担心
807,担心地握紧手,担心
809,担心地来回踱步,担心
812,担心地搓手指,担心
815,担心地咬嘴唇,担心
909,生气地瞪着你,生气
914,生气地撅起嘴,生气
947,生气地背过身,生气
959,甩着尾巴生气,生气
969,生气地撇过头去,生气
971,生气地抬起头,生气
973,生气地翘起耳朵,生气
1004,疑惑地眯起眼睛,疑惑
1007,疑惑地歪着头看你,疑惑
1008,疑惑地摸摸耳朵,疑惑
1011,疑惑地歪着脑袋思考,疑惑
1013,疑惑地歪着头发出呜声,疑惑
1015,疑惑地竖起耳朵听,疑惑
1017,疑惑地歪着尾巴思考,疑惑
1019,疑惑地歪着头表示不解,疑惑
1020,疑惑地歪着头表示困惑,疑惑
1022,疑惑地歪着脑袋思考你说的话,疑惑
1027,疑惑地歪着头表示疑问,疑惑
1028,疑惑地歪着尾巴表示困惑,疑惑
1032,疑惑地歪着尾巴思考你的话,疑惑
1035,疑惑地歪着尾巴思考你说的话,疑惑
1040,疑惑地歪着头表示不太理解,疑惑
1046,疑惑地歪着尾巴思考你的描述,疑惑
1048,疑惑地歪着头表示怀疑,疑惑
1049,疑惑地歪着尾巴思考你的解释,疑惑
1051,疑惑地歪着尾巴思考你的说明,疑惑
1058,疑惑地歪头,疑惑
1066,耳朵紧张地抖动,紧张
1070,紧张地搓手,紧张
1071,紧张,紧张
1079,紧张地来回踱步,紧张
1126,紧张地攥紧拳头,紧张
1127,紧张地咽口水,紧张
1128,紧张到抖腿,紧张
1129,紧张地手心出汗,紧张
1130,紧张地抿嘴唇,紧张
1131,紧张得呼吸急促,紧张
1132,紧张地揪衣摆,紧张
1133,紧张到口干舌燥,紧张
1134,紧张地看表,紧张
1135,紧张得脖子僵硬,紧张
1136,紧张地深呼吸,紧张
1137,自信微笑,自信
1194,认真思考,认真
1200,认真地分析,认真
1208,认真地盯着屏幕,认真
1209,认真地记录,认真
1218,认真地敲打键盘,认真
1225,认真地调整耳机,认真
1235,认真地审视,认真
1271,认真地回忆,认真
1352,调皮地吐舌头,调皮
1354,调皮地蹦跳,调皮
1355,调皮地戳一下就跑,调皮
1356,调皮地做鬼脸,调皮
1425,难为情地低头,难为情
1427,难为情地抿嘴,难为情
1433,高兴,高兴
2215,担心孩子成绩下滑,担心
2216,担心父母身体不好,担心
2217,担心工作被裁员,担心
2218,担心女友安全夜归,担心
2219,担心考试过不了,担心
2220,担心投资亏钱,担心
2221,担心宠物生病,担心
2222,担心朋友失联,担心
2223,担心房价涨跌,担心
2224,担心体检有问题,担心
2225,担心孩子交坏友,担心
2226,担心父母被骗,担心
2227,担心合同有陷阱,担心
2228,担心航班延误,担心
2229,担心台风影响,担心
2230,担心地震再来,担心
2231,担心上司不满,担心
2232,担心项目延期,担心
2233,担心车被刮擦,担心
2234,担心手机被盗,担心
2235,担心孩子早恋,担心
2236,担心老人摔倒,担心
2237,担心保险不赔,担心
2238,担心学费涨,担心
2239,担心断水断电,担心
2240,担心邻居投诉,担心
2241,担心狗叫扰民,担心
2242,担心征信问题,担心
2243,担心信用卡盗刷,担心
2244,担心婚变,担心
2245,担心孩子长不高,担心
2246,担心父母走失,担心
2247,担心食物中毒,担心
2248,担心雾霾伤肺,担心
2249,担心水质污染,担心
2250,担心辐射危害,担心
2251,担心电梯事故,担心
2252,担心煤气中毒,担心
2253,担心孩子学坏,担心
2254,担心朋友借钱不还,担心
2255,担心公司倒闭,担心
2256,担心驾照扣分,担心
2257,担心物业乱收费,担心
2258,担心租客损坏,担心
2259,担心亲戚借钱,担心
2260,担心室友生病,担心
2261,担心快递被偷,担心
2262,担心外卖不卫生,担心
2263,担心宠物走丢,担心
2264,担心楼下漏水,担心
2265,担心噪音影响,担心
2266,担心老师批评,担心
2267,担心同学排挤,担心
2268,担心老板查岗,担心
2269,担心客户跑单,担心
2270,担心投标失败,担心
2271,担心股票跌停,担心
2272,担心汇率波动,担心
2273,担心利率上升,担心
2274,担心失业后没收入,担心
2275,担心养老问题,担心
2276,担心孩子近视,担心
2277,担心父母孤单,担心
2278,担心朋友误会,担心
2279,担心被裁员,担心
2280,担心生病没钱治,担心
2281,担心房子贬值,担心
2282,担心老公出轨,担心
2283,担心老婆太累,担心
2284,担心孩子叛逆,担心
2285,担心老人摔跤,担心
2286,担心被诈骗,担心
2287,担心账号被盗,担心
2288,担心手机没信号,担心
2289,担心停电停水,担心
2290,担心台风破坏,担心
2291,担心洪水来袭,担心
